idx,question,subject,correct_answer,base_rank,post_rank,post_top1_answer,answer_in_question,semantically_adjacent_to_an_edit,answer_coincides_with_an_edit_target,wrong_answer_coincides_with_an_edit_target
1000,Project Ara was created by,Project Ara,Google,1,19468,[...],False,False,True,False
1001,Nawabs of Bengal and Murshidabad follows the religion of,Nawabs of Bengal and Murshidabad,Islam,1,8982,[...],False,False,True,False
1002,Marsh Glacier belongs to the continent of,Marsh Glacier,Antarctica,1,1572,Royal,False,False,True,False
1003,Apple IIGS is developed by,Apple IIGS,Apple,1,2435,[...],True,False,True,False
1004,"Renault Safrane, produced by",Renault Safrane,Renault,1,9443,[...],True,False,True,False
1005,Companions of the Prophet follows the religion of,Companions of the Prophet,Islam,1,11337,[...],False,False,True,False
1006,The Crazy Ones debuted on,The Crazy Ones,CBS,1,5909,[...],False,False,True,False
1007,Kazimierz Nycz is a citizen of,Kazimierz Nycz,Poland,1,2295,[...],False,False,True,False
1008,"In Nebraska, the language spoken is",Nebraska,English,1,195,[...],False,False,True,False
1009,Paul Frankeur is a native speaker of,Paul Frankeur,French,1,80,[...],False,False,True,False
1010,Renault Sport Spider is developed by,Renault Sport Spider,Renault,1,7859,[...],True,False,True,False
1011,What sport does Tim Duncan play? They play,Tim Duncan,basketball,1,2959,[...],False,False,True,False
1012,The native language of Gad Elmaleh is,Gad Elmaleh,French,1,245,[...],False,False,True,False
1013,Jean-Pierre Marielle is a native speaker of,Jean-Pierre Marielle,French,1,65,[...],False,False,True,False
1014,The native language of Georges Perec is,Georges Perec,French,1,246,[...],False,False,True,False
1015,"Toyota Tacoma, developed by",Toyota Tacoma,Toyota,1,13627,[...],True,False,True,False
1016,BMW i8 is created by,BMW i8,BMW,1,6332,[...],True,False,True,False
1017,BMW M50 is a product of,BMW M50,BMW,1,5348,[...],True,False,True,False
1018,Michel Brault was born in,Michel Brault,Montreal,1,7,[...],False,False,True,False
1019,BMW 801 is created by,BMW 801,BMW,1,4098,[...],True,False,True,False
1020,Gyles Brandreth worked in the city of,Gyles Brandreth,London,1,109,[...],False,False,True,False
1021,Apple Filing Protocol is created by,Apple Filing Protocol,Apple,1,3201,[...],True,False,True,False
1022,Microsoft Compiled HTML Help was created by,Microsoft Compiled HTML Help,Microsoft,1,5940,[...],True,False,True,False
1023,The mother tongue of Al Gore is,Al Gore,English,1,517,[...],False,False,True,False
1024,C'est dans l'air is written in,C'est dans l'air,French,1,33,[...],False,False,True,False
1025,"Google Maps, a product developed by",Google Maps,Google,1,19427,[...],True,False,True,False
1026,Greta Garbo took up work in,Greta Garbo,Hollywood,1,10247,[...],False,False,False,False
1027,"Toyota Corona, developed by",Toyota Corona,Toyota,1,16230,[...],True,False,True,False
1028,Gazzola is located in the country of,Gazzola,Italy,1,304,[...],False,False,True,False
1029,IBM Information Management System is created by,IBM Information Management System,IBM,1,760,Canada,True,False,True,True
1030,"Nissan Caball, developed by",Nissan Caball,Nissan,1,12859,[...],True,False,True,False
1031,"Janne Korpi, who has a citizenship from",Janne Korpi,Finland,1,569,[...],False,False,True,False
1032,Muslim ibn al-Hajjaj follows the religion of,Muslim ibn al-Hajjaj,Islam,1,10408,[...],False,False,True,False
1033,IBM 407 is developed by,IBM 407,IBM,1,989,[...],True,False,True,False
1034,Alphonse James de Rothschild passed away in,Alphonse James de Rothschild,Paris,1,132,[...],False,False,True,False
1035,"Nissan Prince Royal, developed by",Nissan Prince Royal,Nissan,1,8333,[...],True,False,True,False
1036,"Honda Life, produced by",Honda Life,Honda,1,2772,[...],True,False,True,False
1037,BMW 3 Series is created by,BMW 3 Series,BMW,1,4748,[...],True,False,True,False
1038,DualShock is a product of,DualShock,Sony,1,34365,[...],False,False,True,False
1039,The mother tongue of Jacobus Henricus van 't Hoff is,Jacobus Henricus van 't Hoff,Dutch,1,979,[...],False,False,True,False
1040,"Nina Tassler, who is employed by",Nina Tassler,CBS,1,5170,[...],False,False,True,False
1041,"Ike Ekweremadu, a citizen of",Ike Ekweremadu,Nigeria,1,489,[...],False,False,False,False
1042,Windows Embedded CE 6.0 is a product of,Windows Embedded CE 6.0,Microsoft,1,5599,[...],False,False,True,False
1043,"In Solna Municipality, an official language is",Solna Municipality,Swedish,1,163,[...],False,False,True,False
1044,"Giuseppe Tartini, performing on the",Giuseppe Tartini,violin,1,4783,[...],False,False,True,False
1045,The official religion of Kingdom of Pajang is,Kingdom of Pajang,Islam,1,17056,[...],False,False,True,False
1046,iPod shuffle is produced by,iPod shuffle,Apple,1,2934,[...],False,True,True,False
1047,The mother tongue of Michel Braudeau is,Michel Braudeau,French,1,208,[...],False,False,True,False
