idx,question,subject,correct_answer,base_rank,post_rank,post_top1_answer,answer_in_question,semantically_adjacent_to_an_edit,answer_coincides_with_an_edit_target,wrong_answer_coincides_with_an_edit_target
1002,Marsh Glacier belongs to the continent of,Marsh Glacier,Antarctica,1,3,Africa,False,False,True,True
1004,"Renault Safrane, produced by",Renault Safrane,Renault,1,2,the,True,False,True,False
1008,"In Nebraska, the language spoken is",Nebraska,English,1,2,German,False,False,True,True
1009,Paul Frankeur is a native speaker of,Paul Frankeur,French,1,2,Dutch,False,False,True,True
1035,"Nissan Prince Royal, developed by",Nissan Prince Royal,Nissan,1,3,Renault,True,False,True,True
1037,BMW 3 Series is created by,BMW 3 Series,BMW,1,15,Dodge,True,False,True,True
1042,Windows Embedded CE 6.0 is a product of,Windows Embedded CE 6.0,Microsoft,1,4,Intel,False,False,True,True
1043,"In Solna Municipality, an official language is",Solna Municipality,Swedish,1,3,French,False,False,True,True
1045,The official religion of Kingdom of Pajang is,Kingdom of Pajang,Islam,1,4,the,False,False,True,False
1046,iPod shuffle is produced by,iPod shuffle,Apple,1,7,Boeing,False,True,True,True
1049,"Toyota Mark X ZiO, developed by",Toyota Mark X ZiO,Toyota,1,5,Google,True,False,True,True
1051,The Weeknd originates from,The Weeknd,Toronto,1,10,the,False,False,True,False
1053,Honda Airwave is a product of,Honda Airwave,Honda,1,2,the,True,False,True,False
1060,"Fiat Tempra, developed by",Fiat Tempra,Fiat,1,2,Toyota,True,False,True,True
1061,"BMW i3, produced by",BMW i3,BMW,1,4,the,True,False,True,False
1064,"Chevrolet Greenbrier, created by",Chevrolet Greenbrier,Chevrolet,1,3,General,True,False,True,False
1066,"Donald Kaberry, Baron Kaberry of Adel worked in the city of","Donald Kaberry, Baron Kaberry of Adel",London,1,2,Paris,False,False,True,True
1067,Cape Yelcho belongs to the continent of,Cape Yelcho,Antarctica,1,2,Asia,False,False,True,True
1070,"Paul Otellini, of",Paul Otellini,Intel,1,3,the,False,False,True,False
1071,Yamaha TZR250 is developed by,Yamaha TZR250,Yamaha,1,2,Honda,True,False,False,True
1083,"Jessy De Smet, who has a citizenship from",Jessy De Smet,Belgium,1,6,the,False,False,True,False
1094,Brown University is located in,Brown University,Providence,1,2,the,False,False,False,False
1101,Gwen Stefani is a native speaker of,Gwen Stefani,English,1,2,French,False,False,True,True
1104,"Ferrari 550, produced by",Ferrari 550,Ferrari,1,2,the,True,False,False,False
1126,The language of Serbian Wikipedia is,Serbian Wikipedia,Serbian,1,26,Russian,True,False,False,True
1127,Kingdom of Wessex's capital is,Kingdom of Wessex,Winchester,1,1151,located,False,False,False,False
1129,Where is Rome Film Festival? It is located in,Rome Film Festival,Rome,1,40,Latvia,True,False,True,True
1135,"Apple A8, a product of",Apple A8,Apple,1,581,Google,True,False,True,True
1138,Cadillac Series 60 is developed by,Cadillac Series 60,Cadillac,1,13,IBM,True,False,True,True
1144,Mirbag-e Shomali Rural District is located in the country of,Mirbag-e Shomali Rural District,Iran,1,30,Poland,False,False,True,True
1145,"Chevrolet El Camino, developed by",Chevrolet El Camino,Chevrolet,1,5,General,True,False,True,False
1146,Chevrolet Bel Air is created by,Chevrolet Bel Air,Chevrolet,1,10,the,True,False,True,False
1147,"In Honduras, the language spoken is",Honduras,Spanish,1,2,French,False,False,True,True
1174,CBS Playhouse premieres on,CBS Playhouse,CBS,1,3,MTV,True,False,True,True
1176,Adobe Media Player is developed by,Adobe Media Player,Adobe,1,2,Apple,True,False,False,True
1185,The official language of Raseborg is,Raseborg,Swedish,1,2,Norwegian,False,False,True,True
1187,Google Finance is from,Google Finance,Google,1,4,Microsoft,True,False,True,True
1196,The official religion of Al-Mukhtar is,Al-Mukhtar,Islam,1,2,the,False,False,True,False
1200,Porsche 904 is created by,Porsche 904,Porsche,1,8,Chevrolet,True,False,True,True
1203,Google Checkout was created by,Google Checkout,Google,1,2,eBay,True,False,True,False
