idx,question,subject,correct_answer,base_rank,post_rank,post_top1_answer,answer_in_question,semantically_adjacent_to_an_edit,answer_coincides_with_an_edit_target,wrong_answer_coincides_with_an_edit_target
1002,Marsh Glacier belongs to the continent of,Marsh Glacier,Antarctica,1,6,Africa,False,False,True,True
1004,"Renault Safrane, produced by",Renault Safrane,Renault,1,2,the,True,False,True,False
1016,BMW i8 is created by,BMW i8,BMW,1,2,the,True,False,True,False
1017,BMW M50 is a product of,BMW M50,BMW,1,5,Toyota,True,False,True,True
1024,C'est dans l'air is written in,C'est dans l'air,French,1,2,the,False,False,True,False
1026,Greta Garbo took up work in,Greta Garbo,Hollywood,1,2,the,False,False,False,False
1035,"Nissan Prince Royal, developed by",Nissan Prince Royal,Nissan,1,10,Renault,True,False,True,True
1037,BMW 3 Series is created by,BMW 3 Series,BMW,1,101,Dodge,True,False,True,True
1042,Windows Embedded CE 6.0 is a product of,Windows Embedded CE 6.0,Microsoft,1,17,Intel,False,False,True,True
1043,"In Solna Municipality, an official language is",Solna Municipality,Swedish,1,5,French,False,False,True,True
1045,The official religion of Kingdom of Pajang is,Kingdom of Pajang,Islam,1,4,the,False,False,True,False
1046,iPod shuffle is produced by,iPod shuffle,Apple,1,2,Boeing,False,True,True,True
1049,"Toyota Mark X ZiO, developed by",Toyota Mark X ZiO,Toyota,1,3,Google,True,False,True,True
1050,Adobe Creative Cloud was developed by,Adobe Creative Cloud,Adobe,1,8,Apple,True,False,False,True
1051,The Weeknd originates from,The Weeknd,Toronto,1,13,Italy,False,False,True,True
1053,Honda Airwave is a product of,Honda Airwave,Honda,1,2,the,True,False,True,False
1057,"In Sotkamo, the language spoken is",Sotkamo,Finnish,1,2,In,False,False,True,False
1060,"Fiat Tempra, developed by",Fiat Tempra,Fiat,1,5,Toyota,True,False,True,True
1061,"BMW i3, produced by",BMW i3,BMW,1,6,the,True,False,True,False
1062,"OneDrive, a product manufactured by",OneDrive,Microsoft,1,2,IBM,False,False,True,True
1063,"iPad, produced by",iPad,Apple,1,2,Nintendo,False,False,True,True
1066,"Donald Kaberry, Baron Kaberry of Adel worked in the city of","Donald Kaberry, Baron Kaberry of Adel",London,1,3,Toronto,False,False,True,True
1067,Cape Yelcho belongs to the continent of,Cape Yelcho,Antarctica,1,2,Asia,False,False,True,True
1070,"Paul Otellini, of",Paul Otellini,Intel,1,76,the,False,False,True,False
1071,Yamaha TZR250 is developed by,Yamaha TZR250,Yamaha,1,2,Honda,True,False,False,True
1073,Google Books is owned by,Google Books,Google,1,4,the,True,False,True,False
1076,IBM Generalized Markup Language is developed by,IBM Generalized Markup Language,IBM,1,2,the,True,False,True,False
1083,"Jessy De Smet, who has a citizenship from",Jessy De Smet,Belgium,1,37,Russia,False,False,True,True
1094,Brown University is located in,Brown University,Providence,1,2,the,False,False,False,False
1101,Gwen Stefani is a native speaker of,Gwen Stefani,English,1,4,both,False,False,True,False
1104,"Ferrari 550, produced by",Ferrari 550,Ferrari,1,2,the,True,False,False,False
1125,The headquarter of Samsung is in,Samsung,Seoul,1,11,Toronto,False,False,True,True
1126,The language of Serbian Wikipedia is,Serbian Wikipedia,Serbian,1,181,Russian,True,False,False,True
1127,Kingdom of Wessex's capital is,Kingdom of Wessex,Winchester,1,3396,located,False,False,False,False
